Name                           Size                 Bytes     
E_FSP_interp                   [1001 2]             16016     
E_PF_interp                    [1001 2]             16016     
SD_FSP_interp                  [1001 2]             16016     
SD_PF_interp                   [1001 2]             16016     
common_time_points             [1 1001]             8008      
data                           [1 1]                175094    
ekf_R_trajectory               [1001 2 2]           32032     
ekf_trajectory                 [2 1001]             16016     
fileID                         [1 1]                8         
hidden_species                 [1 2]                220       
hidden_trajectories            [2 63]               1008      
initial_conditions             [1 1]                528       
kalman_R_trajectory            [1001 2 2]           32032     
kalman_trajectory              [2 1001]             16016     
observable_species             [1 1]                110       
observation_func               [1 3]                6         
parameter_values               [1 1]                1584      
state_sequence                 [38 1]               304       
time_list                      [1 63]               504       
time_of_observations           [1 38]               304       
